                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96748,                 1.6598,                 2.4474,                0.97745,                0.95657,                 0.4495,                0.69565,                0.56561,                0.95657,                 0.4495,                0.70271,                0.53508,                0.92403,                 2.0348,                 2.6011,                0.93614,                0.00066,                0.00066,                0.00066
                      2,                0.97137,                 1.4599,                 1.7121,                 0.9947,                 0.9374,                0.79592,                0.85555,                 0.6728,                 0.9374,                0.79592,                0.85562,                0.69404,                0.97128,                 1.5907,                 1.3262,                0.95699,               0.001324,               0.001324,               0.001324
                      3,                0.91726,                 1.5675,                 1.6469,                0.95541,                0.99701,                0.81633,                0.86147,                0.61912,                0.99701,                0.81633,                0.86147,                0.62535,                 1.1471,                 1.7821,                 1.6441,                 1.0516,              0.0019854,              0.0019854,              0.0019854
                      4,                0.99309,                 1.5112,                 1.4977,                 1.0192,                 0.9125,                 0.8514,                 0.8626,                0.66141,                 0.9125,                 0.8514,                0.86263,                0.67343,                 1.0398,                 1.7308,                 1.5714,                 1.0121,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.0483,                 1.5397,                 1.5905,                 1.0649,                0.90973,                0.82275,                0.85058,                0.64699,                0.90973,                0.82275,                0.85058,                0.64914,                 1.0848,                 1.7429,                 1.4016,                 1.0423,              0.0019881,              0.0019881,              0.0019881
                      6,                0.97818,                 1.4216,                  1.318,                 1.0129,                0.83386,                0.81947,                 0.8485,                0.60601,                0.83386,                0.81947,                0.84797,                0.62089,                 1.1887,                 1.6634,                 1.4492,                 1.0832,              0.0019842,              0.0019842,              0.0019842
                      7,                0.98958,                 1.4021,                 1.3459,                0.99609,                0.97498,                0.79543,                0.87368,                0.64622,                0.97498,                0.79543,                0.87368,                0.65673,                 1.1027,                 1.6987,                 1.2465,                 1.0321,              0.0019802,              0.0019802,              0.0019802
                      8,                0.96368,                 1.4241,                 1.1942,                 1.0057,                0.98619,                0.79592,                0.81202,                0.61137,                0.98619,                0.79592,                  0.812,                0.59005,                 1.0431,                 1.7584,                 1.3505,                0.99179,              0.0019762,              0.0019762,              0.0019762
                      9,                 0.8827,                  1.343,                 1.0957,                0.96708,                0.97393,                0.79592,                0.84691,                0.65254,                0.97393,                0.79592,                0.84678,                0.63864,                0.94371,                  1.747,                 1.1852,                0.94813,              0.0019723,              0.0019723,              0.0019723
                     10,                0.89677,                 1.4491,                 1.0637,                0.96539,                0.92165,                0.81633,                0.86489,                0.62828,                0.92165,                0.81633,                0.86084,                0.62272,                 1.0977,                  1.938,                 1.1625,                0.99687,              0.0019683,              0.0019683,              0.0019683
                     11,                0.95685,                 1.3326,                 1.0451,                0.99341,                0.88234,                0.79592,                0.82704,                 0.6321,                0.88234,                0.79592,                0.82704,                0.63133,                 1.0737,                 1.7153,                 1.1783,                 1.0063,              0.0019644,              0.0019644,              0.0019644
                     12,                0.93011,                 1.3252,                 1.0304,                0.95822,                0.96227,                0.69388,                 0.8047,                0.61508,                0.96227,                0.69388,                 0.8047,                0.61801,                 1.0481,                  1.703,                 1.2359,                 1.0076,              0.0019604,              0.0019604,              0.0019604
                     13,                0.87034,                 1.3567,                0.99251,                0.97423,                      1,                0.74791,                0.80935,                0.61472,                      1,                0.74791,                0.80951,                0.63168,                 1.0563,                 1.6856,                 1.1927,                 1.0052,              0.0019564,              0.0019564,              0.0019564
                     14,                 0.8262,                 1.2581,                0.84987,                 0.9435,                0.91033,                 0.8288,                0.85892,                0.65944,                0.91033,                 0.8288,                0.85892,                0.67528,                 1.0753,                 1.6955,                 1.0161,                 1.0242,              0.0019525,              0.0019525,              0.0019525
                     15,                0.82239,                 1.2224,                0.84585,                0.96582,                0.93151,                0.81633,                0.85316,                0.66334,                0.97477,                0.78855,                0.84442,                 0.6507,                0.97529,                  1.573,                 1.0357,                 0.9712,              0.0019485,              0.0019485,              0.0019485
                     16,                0.84135,                 1.1715,                0.83079,                0.93133,                0.94689,                0.72788,                0.84927,                0.67516,                0.94689,                0.72788,                0.83477,                0.64475,                0.99532,                 1.5763,                 1.0374,                0.97711,              0.0019446,              0.0019446,              0.0019446
                     17,                0.80827,                  1.192,                0.77725,                0.94956,                0.94718,                0.73197,                0.82422,                0.65015,                0.94718,                0.73197,                0.81803,                0.62099,                 0.9896,                 1.6648,                  1.046,                0.96398,              0.0019406,              0.0019406,              0.0019406
                     18,                 0.8272,                 1.2064,                0.76208,                0.95535,                0.92662,                0.77314,                0.80634,                0.63032,                0.92662,                0.77314,                 0.8062,                0.62459,                0.99797,                 1.8223,                 1.0991,                0.97817,              0.0019366,              0.0019366,              0.0019366
                     19,                0.81148,                 1.2323,                0.71656,                0.93095,                0.97429,                0.77337,                0.79381,                0.63739,                0.97429,                0.77337,                0.79084,                 0.6261,                0.98435,                 1.6226,                 1.0418,                0.98654,              0.0019327,              0.0019327,              0.0019327
