                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96098,                 1.7393,                 2.6415,                0.97541,                0.90857,                0.34014,                 0.7264,                 0.5325,                0.90857,                0.34014,                0.72785,                0.54579,                0.92861,                 1.7035,                 2.6951,                 0.9156,              0.0032778,              0.0032778,              0.0032778
                      2,                0.89583,                 1.4322,                 1.3134,                0.91592,                 0.9354,                0.83673,                0.87558,                 0.6319,                 0.9354,                0.83673,                0.87679,                0.66135,                 1.0194,                 1.7163,                 1.6779,                0.92814,              0.0066046,              0.0066046,              0.0066046
                      3,                0.92104,                 1.3989,                 1.1662,                0.93877,                0.91552,                0.83673,                0.86625,                0.65842,                0.91552,                0.83673,                0.86609,                0.66808,                0.93337,                 1.7959,                 1.1911,                0.91822,              0.0099248,              0.0099248,              0.0099248
                      4,                0.91344,                 1.4168,                 1.0456,                0.94786,                0.92284,                0.73227,                0.80826,                0.61514,                0.92284,                0.73227,                0.80867,                0.63018,                0.96945,                 1.7385,                 1.0974,                0.94243,              0.0099703,              0.0099703,              0.0099703
                      5,                0.89509,                 1.3864,                 0.8987,                 0.9534,                0.98187,                0.78231,                0.86276,                 0.6462,                0.98187,                0.78231,                0.86125,                0.61214,                0.92771,                 1.8762,                 0.9401,                 0.9388,              0.0099703,              0.0099703,              0.0099703
                      6,                0.85183,                 1.2988,                0.80144,                0.94136,                0.96587,                0.77551,                0.86607,                0.64176,                0.96587,                0.77551,                0.86605,                0.65532,                0.96281,                  1.722,                 0.9603,                 0.9503,              0.0099604,              0.0099604,              0.0099604
                      7,                 0.8386,                 1.2609,                0.76114,                0.93116,                0.96795,                 0.8219,                0.86913,                0.65827,                0.96795,                 0.8219,                0.86872,                0.65431,                0.95093,                 1.7914,                0.80059,                0.92727,              0.0099505,              0.0099505,              0.0099505
                      8,                0.80414,                 1.2043,                0.68703,                0.92495,                0.94261,                0.78207,                0.84303,                0.63981,                0.94261,                0.78207,                 0.8427,                0.61862,                0.94448,                 1.8929,                0.90264,                0.92909,              0.0099406,              0.0099406,              0.0099406
                      9,                0.81315,                 1.1547,                0.64441,                 0.9271,                0.93089,                 0.7619,                0.81003,                0.62447,                0.93089,                 0.7619,                0.81397,                 0.6185,                0.89177,                 1.6509,                  1.104,                0.91632,              0.0099307,              0.0099307,              0.0099307
                     10,                0.77981,                 1.1297,                0.61086,                0.91587,                0.95999,                0.81602,                 0.8834,                0.65181,                0.95999,                0.81602,                 0.8816,                0.66226,                 1.0139,                 1.6058,                0.77419,                0.95644,              0.0099208,              0.0099208,              0.0099208
                     11,                0.75578,                 1.1389,                0.59528,                0.91168,                0.96099,                0.82313,                0.89876,                0.68655,                0.96099,                0.82313,                0.89853,                0.65475,                0.89508,                 1.6373,                0.67348,                0.92923,              0.0099109,              0.0099109,              0.0099109
